brin_nummer,kwalificatie_code,kwalificatie_naam,2015_man_i,2015_vrouw_i,2015_tot_i,2016_man_i,2016_vrouw_i,2016_tot_i,2017_man_i,2017_vrouw_i,2017_tot_i,2018_man_i,2018_vrouw_i,2018_tot_i,2019_man_i,2019_vrouw_i,2019_tot_i,2015_man_d,2015_vrouw_d,2015_tot_d,2016_man_d,2016_vrouw_d,2016_tot_d,2017_man_d,2017_vrouw_d,2017_tot_d,2018_man_d,2018_vrouw_d,2018_tot_d,2019_man_d,2019_vrouw_d,2019_tot_d,tech_label
00GT,22166.0,Medewerker marketing en communicatie,70.0,74.0,144.0,16.0,36.0,52.0,10.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,growth
00GT,25148.0,Medewerker marketing en communicatie,0.0,0.0,0.0,43.0,45.0,88.0,58.0,77.0,135.0,101.0,120.0,221.0,111.0,107.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,47.0,growth
00GT,25187.0,Applicatie- en mediaontwikkelaar,0.0,0.0,0.0,37.0,0.0,37.0,51.0,2.0,53.0,88.0,4.0,92.0,96.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,21.0,tech
00GT,25189.0,ICT-beheerder,0.0,0.0,0.0,95.0,6.0,101.0,159.0,11.0,170.0,232.0,12.0,244.0,301.0,21.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,34.0,tech
00GT,25190.0,Netwerk- en mediabeheerder,0.0,0.0,0.0,21.0,2.0,23.0,93.0,4.0,97.0,159.0,6.0,165.0,171.0,3.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,34.0,tech
00GT,25191.0,Medewerker beheer ICT,0.0,0.0,0.0,35.0,1.0,36.0,102.0,6.0,108.0,132.0,6.0,138.0,112.0,6.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,47.0,78.0,5.0,83.0,tech
00GT,25192.0,Medewerker ICT,0.0,0.0,0.0,113.0,2.0,115.0,174.0,2.0,176.0,202.0,4.0,206.0,194.0,6.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,32.0,41.0,1.0,42.0,tech
00GT,25201.0,Mediavormgever,0.0,0.0,0.0,11.0,16.0,27.0,11.0,31.0,42.0,24.0,44.0,68.0,12.0,53.0,65.0,,,,,,,,,,,,,,,,tech
00GT,90412.0,Mediavormgever (Art & Design KC GOC),18.0,41.0,59.0,2.0,30.0,32.0,2.0,19.0,21.0,1.0,8.0,9.0,0.0,0.0,0.0,1.0,9.0,10.0,1.0,8.0,9.0,0.0,9.0,9.0,1.0,9.0,10.0,1.0,8.0,9.0,tech
00GT,90531.0,Medewerker marketing en communicatie (Assistent communicatiemedewerker),4.0,5.0,9.0,1.0,2.0,3.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,24.0,40.0,64.0,30.0,42.0,72.0,23.0,53.0,76.0,18.0,36.0,54.0,0.0,0.0,0.0,growth
