brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
00MF,49124,Hogeschool voor de Kunsten Utrecht,sectoroverstijgend,sectoroverstijgend,Crossover Creativity,hbo,master,9.0,11.0,4.0,15.0,12.0,17.0,9.0,16.0,8.0,13.0,20.0,19.0,29.0,25.0,21.0,0.0,0.0,8.0,9.0,2.0,13.0,7.0,10.0,3.0,10.0,0.0,17.0,15.0,17.0,13.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,1.0,Crossover Creativity,28.0,0.0,both,,designer
00MF,39111,Hogeschool voor de Kunsten Utrecht,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,98.0,156.0,88.0,176.0,106.0,215.0,93.0,215.0,85.0,178.0,254.0,264.0,321.0,308.0,263.0,99.0,145.0,91.0,146.0,109.0,153.0,102.0,132.0,80.0,131.0,244.0,237.0,262.0,234.0,211.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,0.0,Design,365.0,1224.0,both,design,designer
00MF,30036,Hogeschool voor de Kunsten Utrecht,techniek,n.v.t. (techniek),Creative Media and Game Technologies,hbo,bachelor,63.0,23.0,74.0,43.0,73.0,33.0,68.0,33.0,73.0,45.0,86.0,117.0,106.0,101.0,118.0,85.0,12.0,63.0,15.0,69.0,21.0,60.0,21.0,43.0,20.0,97.0,78.0,90.0,81.0,63.0,"['307', '344']",Game Architecture and Design,Techniek,0.0,Creative Media and Game Technologies,134.0,478.0,both,"creative, media",designer
01VU,34405,Christelijke Hogeschool Windesheim,economie,n.v.t. (economie),Communicatie,hbo,bachelor,18.0,56.0,18.0,70.0,27.0,68.0,16.0,85.0,34.0,109.0,74.0,88.0,95.0,101.0,143.0,17.0,74.0,22.0,86.0,15.0,70.0,20.0,70.0,10.0,57.0,91.0,108.0,85.0,90.0,67.0,"['34', '80', '14', '153', '193', '344']",Communicatie,Taal en Communicatie,1.0,Communication,149.0,484.0,both,,growth
01VU,30020,Christelijke Hogeschool Windesheim,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,321.0,17.0,436.0,19.0,495.0,41.0,515.0,30.0,499.0,35.0,338.0,455.0,536.0,545.0,534.0,145.0,6.0,122.0,4.0,172.0,5.0,221.0,7.0,219.0,13.0,151.0,126.0,177.0,228.0,232.0,"['34', '80', '14', '153', '193', '344']",Informatica,Exact en Informatica,1.0,HBO Information Technology,693.0,2036.0,both,"information, technology",support
01VU,34389,Christelijke Hogeschool Windesheim,techniek,n.v.t. (techniek),Industrieel Product Ontwerpen,hbo,bachelor,43.0,17.0,42.0,27.0,39.0,17.0,31.0,12.0,43.0,19.0,60.0,69.0,56.0,43.0,62.0,39.0,7.0,36.0,8.0,39.0,8.0,29.0,12.0,23.0,12.0,46.0,44.0,47.0,41.0,35.0,"['34', '80', '14', '153', '193', '344']",Industrieel Produkt Ontwerpen,Techniek,1.0,Industrial Design Engineering,69.0,251.0,both,"design, engineer",designer
01VU,80071,Christelijke Hogeschool Windesheim,techniek,n.v.t. (techniek),ICT-Beheer,hbo,associate degree,4.0,0.0,5.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,4.0,5.0,12.0,1.0,0.0,1.0,,1.0,,2.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,"['34', '80', '14', '153', '193', '344']",,,1.0,ICT-Beheer,1.0,1.0,left_only,ict,support
01VU,80130,Christelijke Hogeschool Windesheim,techniek,n.v.t. (techniek),Software Development,hbo,associate degree,0.0,0.0,0.0,0.0,76.0,6.0,58.0,6.0,58.0,12.0,0.0,0.0,82.0,64.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,35.0,2.0,0.0,0.0,0.0,10.0,37.0,"['34', '80', '14', '153', '193', '344']",Informatica,Exact en Informatica,1.0,Software Development,65.0,118.0,both,software,developer
02NT,39111,Design Academy Eindhoven,taal en cultuur,opleidingen op het gebied van de kunst,Vormgeving,hbo,bachelor,49.0,90.0,46.0,71.0,54.0,78.0,44.0,96.0,65.0,75.0,139.0,117.0,132.0,140.0,140.0,46.0,52.0,59.0,73.0,45.0,66.0,55.0,80.0,39.0,83.0,98.0,132.0,111.0,135.0,122.0,['772'],Kunstacademie,Kunst en Cultuur,1.0,Design,150.0,540.0,both,design,designer
07GR,34405,Avans Hogeschool,economie,n.v.t. (economie),Communicatie,hbo,bachelor,13.0,37.0,15.0,50.0,21.0,78.0,12.0,70.0,15.0,90.0,50.0,65.0,99.0,82.0,105.0,6.0,23.0,7.0,45.0,16.0,76.0,22.0,72.0,10.0,46.0,29.0,52.0,92.0,94.0,56.0,"['758', '796', '855', '1674']",Communicatie,Taal en Communicatie,1.0,Communication,120.0,405.0,both,,growth
