brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
00IC,34808,Katholieke PABO Zwolle,onderwijs,leraar basisonderwijs,Opleiding tot leraar Basisonderwijs,hbo,bachelor,29.0,116.0,39.0,114.0,46.0,137.0,47.0,116.0,47.0,147.0,145.0,153.0,183.0,163.0,194.0,17.0,103.0,22.0,87.0,26.0,102.0,17.0,88.0,17.0,79.0,120.0,109.0,128.0,105.0,96.0,['193'],Leraar basisonderwijs (PABO),Onderwijs en Opvoeding,1.0,Education in Primary Schools (age 4 - 12),250.0,698.0,both,,no_tech
00IC,80127,Katholieke PABO Zwolle,onderwijs,leraar basisonderwijs,Pedagogisch Professional Kind en Educatie,hbo,associate degree,0.0,0.0,3.0,67.0,6.0,79.0,5.0,90.0,7.0,88.0,0.0,70.0,85.0,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,38.0,0.0,0.0,0.0,38.0,39.0,['193'],Leraar basisonderwijs (PABO),Onderwijs en Opvoeding,1.0,Pedagogic Professional Child and Education,95.0,158.0,both,,no_tech
00MF,34951,Hogeschool voor de Kunsten Utrecht,economie,n.v.t. (economie),Kunst en Economie,hbo,bachelor,49.0,166.0,64.0,121.0,44.0,126.0,44.0,147.0,37.0,100.0,215.0,185.0,170.0,191.0,137.0,41.0,104.0,43.0,86.0,45.0,102.0,49.0,110.0,31.0,86.0,145.0,129.0,147.0,159.0,117.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,1.0,Art and Economics,232.0,755.0,both,,no_tech
00MF,34745,Hogeschool voor de Kunsten Utrecht,onderwijs,lerarenopleidingen op het gebied van de kunst,Docent Theater,hbo,bachelor,7.0,9.0,3.0,7.0,4.0,13.0,4.0,11.0,3.0,11.0,16.0,10.0,17.0,15.0,14.0,3.0,6.0,0.0,9.0,1.0,5.0,1.0,7.0,7.0,6.0,9.0,9.0,6.0,8.0,13.0,"['307', '344']",Toneel,Kunst en Cultuur,1.0,Theatre in Education,17.0,69.0,both,,no_tech
00MF,39100,Hogeschool voor de Kunsten Utrecht,onderwijs,lerarenopleidingen op het gebied van de kunst,Docent Beeldende Kunst en Vormgeving,hbo,bachelor,2.0,23.0,7.0,26.0,4.0,28.0,3.0,23.0,4.0,26.0,25.0,33.0,32.0,26.0,30.0,6.0,27.0,11.0,40.0,11.0,30.0,8.0,39.0,9.0,32.0,33.0,51.0,41.0,47.0,41.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,1.0,Fine Art and Design in Education,53.0,178.0,both,design,no_tech
00MF,39112,Hogeschool voor de Kunsten Utrecht,onderwijs,lerarenopleidingen op het gebied van de kunst,Docent Muziek,hbo,bachelor,3.0,9.0,3.0,9.0,7.0,6.0,9.0,6.0,2.0,8.0,12.0,12.0,13.0,15.0,10.0,2.0,12.0,7.0,11.0,5.0,6.0,5.0,10.0,2.0,7.0,14.0,18.0,11.0,15.0,9.0,"['307', '344']",Muziek,Kunst en Cultuur,1.0,Music in Education,17.0,78.0,both,,no_tech
00MF,49117,Hogeschool voor de Kunsten Utrecht,onderwijs,lerarenopleidingen op het gebied van de kunst,Kunsteducatie,hbo,master,2.0,9.0,3.0,16.0,2.0,9.0,3.0,12.0,2.0,15.0,11.0,19.0,11.0,15.0,17.0,2.0,7.0,4.0,10.0,3.0,9.0,2.0,10.0,4.0,10.0,9.0,14.0,12.0,12.0,14.0,"['307', '344']",,,1.0,Kunsteducatie,15.0,15.0,left_only,,no_tech
00MF,49124,Hogeschool voor de Kunsten Utrecht,sectoroverstijgend,sectoroverstijgend,Crossover Creativity,hbo,master,9.0,11.0,4.0,15.0,12.0,17.0,9.0,16.0,8.0,13.0,20.0,19.0,29.0,25.0,21.0,0.0,0.0,8.0,9.0,2.0,13.0,7.0,10.0,3.0,10.0,0.0,17.0,15.0,17.0,13.0,"['307', '344']",Kunstacademie,Kunst en Cultuur,1.0,Crossover Creativity,28.0,0.0,both,,designer
00MF,34739,Hogeschool voor de Kunsten Utrecht,taal en cultuur,opleidingen op het gebied van de kunst,Muziek,hbo,bachelor,82.0,34.0,74.0,36.0,88.0,41.0,93.0,38.0,83.0,33.0,116.0,110.0,129.0,131.0,116.0,51.0,31.0,75.0,24.0,56.0,32.0,58.0,21.0,62.0,32.0,82.0,99.0,88.0,79.0,94.0,"['307', '344']",Muziek,Kunst en Cultuur,0.0,Music,162.0,559.0,both,,no_tech
00MF,34739,Hogeschool voor de Kunsten Utrecht,taal en cultuur,opleidingen op het gebied van de kunst,Muziek,hbo,bachelor,82.0,34.0,74.0,36.0,88.0,41.0,93.0,38.0,83.0,33.0,116.0,110.0,129.0,131.0,116.0,51.0,31.0,75.0,24.0,56.0,32.0,58.0,21.0,62.0,32.0,82.0,99.0,88.0,79.0,94.0,"['307', '344']",Muziek,Kunst en Cultuur,1.0,Music,0.0,0.0,both,,no_tech
