PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;man;10;12;11;10;13
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);34267;B Elektrotechniek;voltijd onderwijs;hbo bachelor;vrouw;3;2;2;2;0
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;hbo master;man;0;4;4;5;7
Drenthe;0106;Assen;reguliere inst.;25BE;Hanzehogeschool Groningen;techniek;n.v.t. (techniek);40015;M Smart Systems Engineering;voltijd onderwijs;hbo master;vrouw;0;2;1;0;2
Drenthe;0106;Assen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;man;9;5;8;7;6
Drenthe;0106;Assen;reguliere inst.;31FR;NHL Stenden Hogeschool;onderwijs;leraar basisonderwijs;34808;B Opleiding tot leraar Basisonderwijs;voltijd onderwijs;hbo bachelor;vrouw;87;27;20;18;18
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;man;4;4;4;6;3
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);30029;B International Business;voltijd onderwijs;hbo bachelor;vrouw;17;19;16;14;12
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;man;30;31;23;19;27
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;48;38;32;18;21
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;13;16;9;18;16
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;3;7;6;5;10
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;hbo bachelor;man;3;2;1;0;0
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;duaal onderwijs;hbo bachelor;vrouw;0;0;0;1;0
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;hbo bachelor;man;18;21;16;29;18
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);35522;B Logistics Management;voltijd onderwijs;hbo bachelor;vrouw;11;1;6;9;6
Drenthe;0114;Emmen;reguliere inst.;31FR;NHL Stenden Hogeschool;economie;n.v.t. (economie);80009;Ad Tourism Management;voltijd onderwijs;hbo associate degree;man;0;1;1;1;0
