PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2014;2015;2016;2017;2018
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;wo master;man;0;0;0;0;8
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;wo master;vrouw;0;0;0;0;8
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;wo master;man;7;10;2;3;6
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;wo master;vrouw;3;2;6;8;8
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;deeltijd onderwijs;wo bachelor;vrouw;0;0;1;0;0
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;wo master;man;0;0;0;0;3
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;wo master;vrouw;0;0;0;0;2
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;wo master;man;0;0;0;2;3
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;wo master;vrouw;1;3;4;3;4
Friesland;0080;Leeuwarden;reguliere inst.;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;wo master;man;0;0;0;0;1
