PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;TYPE HOGER ONDERWIJS;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;GESLACHT;2015;2016;2017;2018;2019
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;man;8;4;10;5;6
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);50700;B Rechtsgeleerdheid;voltijd onderwijs;vrouw;13;14;14;17;13
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;man;0;0;0;8;15
Friesland;0080;Leeuwarden;reguliere inst.;bachelor;21PC;Rijksuniversiteit Groningen;sectoroverstijgend;sectoroverstijgend;59327;B Global Responsibility and Leadership;voltijd onderwijs;vrouw;0;0;0;17;32
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;man;0;0;0;6;8
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;economie;n.v.t. (economie);67085;M Sustainable Entrepreneurship;voltijd onderwijs;vrouw;0;0;0;8;20
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;man;7;3;4;11;4
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);60656;M Culturele Geografie;voltijd onderwijs;vrouw;7;6;7;6;9
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;man;0;0;0;4;6
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;recht;n.v.t. (recht);66461;M Recht en Bestuur;voltijd onderwijs;vrouw;0;0;0;2;1
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;man;0;1;2;4;2
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;taal en cultuur;n.v.t. (taal en cultuur);60815;M Taalwetenschappen;voltijd onderwijs;vrouw;2;6;4;5;3
Friesland;0080;Leeuwarden;reguliere inst.;master;21PC;Rijksuniversiteit Groningen;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;0;0;0;0;1
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;man;0;0;20;16;20
Friesland;0080;Leeuwarden;reguliere inst.;master;21PH;Universiteit Twente;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);69319;M Environmental and Energy Management;voltijd onderwijs;vrouw;0;0;14;22;12
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;man;10;13;13;11;6
Friesland;0080;Leeuwarden;reguliere inst.;master;21PI;Wageningen University;techniek;n.v.t. (techniek);65005;M Water Technology (joint degree);voltijd onderwijs;vrouw;10;7;5;7;8
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;man;6;8;14;14;13
Gelderland;0200;Apeldoorn;WO kleine univ.;bachelor;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);56109;B Theologie;voltijd onderwijs;vrouw;2;6;4;5;3
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;man;8;7;10;4;3
Gelderland;0200;Apeldoorn;WO kleine univ.;master;21QO;Theologische Universiteit Apeldoorn;taal en cultuur;n.v.t. (taal en cultuur);60257;M Theologie;voltijd onderwijs;vrouw;1;1;0;4;1
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;man;134;161;249;249;277
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50645;B Bedrijfskunde;voltijd onderwijs;vrouw;93;134;184;194;183
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;man;124;113;131;193;151
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;economie;n.v.t. (economie);50950;B Economie en Bedrijfseconomie;voltijd onderwijs;vrouw;39;55;61;81;66
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;man;10;8;8;7;9
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);50035;B Culturele Antropologie en Ontwikkelingssociologie;voltijd onderwijs;vrouw;35;33;34;50;26
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;man;11;5;10;15;18
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56601;B Sociologie;voltijd onderwijs;vrouw;21;35;31;26;28
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;man;69;169;96;74;102
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56604;B Psychologie;voltijd onderwijs;vrouw;225;449;275;298;340
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;man;52;48;58;54;70
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56606;B Politicologie;voltijd onderwijs;vrouw;24;24;35;50;58
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;man;26;13;37;24;16
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56607;B Pedagogische Wetenschappen;voltijd onderwijs;vrouw;256;119;425;394;313
Gelderland;0268;Nijmegen;reguliere inst.;bachelor;21PM;Radboud Universiteit Nijmegen;gedrag en maatschappij;n.v.t. (gedrag en maatschappij);56615;B Communicatiewetenschap;voltijd onderwijs;man;22;16;21;17;32
